Date,Open,High,Low,Close,Adj Close,Volume
2020-07-09,1669.706421,1693.704346,1648.708130,1683.782104,1666.588501,18209471
2020-07-10,1687.704956,1739.485229,1683.782104,1733.439575,1715.738770,21879983
2020-07-13,1756.791382,1797.726440,1753.699341,1786.004395,1767.766846,34804196
2020-07-14,1785.081421,1792.188477,1741.977295,1769.390381,1751.322510,33665564
2020-07-15,1788.727173,1826.431763,1659.553467,1702.011353,1684.631470,69834886
2020-07-16,1704.780396,1725.086426,1672.890747,1701.457642,1684.083496,30480862
2020-07-17,1702.934448,1772.159424,1696.473389,1764.498535,1746.480591,24863382
2020-07-20,1770.128784,1783.235352,1753.376343,1772.067017,1753.971802,18296469
2020-07-21,1789.696411,1824.770386,1787.388916,1819.739990,1801.157959,21086685
2020-07-22,1830.308350,1855.229370,1809.725464,1849.691406,1830.803589,29885728
2020-07-23,1849.645142,1919.562378,1838.015381,1899.348755,1879.953857,29166875
